"ID","Date","BU Name","Line/ Location","Machine No","Problem Description","Risk Level","Photo","Recommendation / Action","Points Categories","Audit","Target ","Responsibility","Alternate Responsibility","Status ","Remarks ","If additional Mail CC Person ","After Photo","Attachments"
"31","09-01-2025","Prov Lab","Reliability Lab","Marazzo BS IV Engine","Oil Spillage under the Engine ","Rank A","IMG-20230404-WA0003.jpeg","Need to clean the spillage and to take action to prevent the spillage","Fire","Fire Patrol","08-04-2023","Veeramani.P - ENGG PROVING LAB","NOEL BRIGHT.R - ENGG PROVING LAB","Closed",,"Subbian.K - Intelligence Officer","IMG-20230913-WA0008.jpg","0"
"32","09-01-2025","APU","Stator line","IT0669/ Insule forming and Insertion","Machine is running with guard open stage, Chances of crush injury","Rank A","20230410_103917.jpg","Suggested to provide the door with interlock to avoid bypassing the door","Safety","EHS Patrol","12-04-2023","Prasath.M - ABU","Vallavathevan - ABU","Closed","Corrected","Saravanan.E - ABU",,"0"
"33","09-01-2025","APU","Stator line","IC0025/Id Capston lathe","It was Observed that, Available guard is not sufficient, So that, Coolant oil is splashing over the person and nearby places","Rank B","20230410_104240.jpg","Suggested to extend the guard","Environment","EHS Patrol","12-04-2023","Prasath.M - ABU","Vallavathevan - ABU","Closed","Guard provided","Saravanan.E - ABU",,"0"
"34","09-01-2025","APU","Stator","IPH0111/Fan repressing machine","Emergency push button is damaged and hanging","Rank A","20230410_104410.jpg","Suggested to replace the Emergency push button","Safety","EHS Patrol","12-04-2023","Prasath.M - ABU","Vallavathevan - ABU","Closed","Push button replaced","Saravanan.E - ABU",,"0"
"35","09-01-2025","APU","Stator line","IVW0159/Fan Welding","It was Observed that, Two hand push button and Emergency push button is same color and placed close to a each other","Rank B","20230410_104527.jpg","Change the Emergency push button and place the Emergency push button away from two hand push button","Safety","EHS Patrol","12-04-2023","Prasath.M - ABU","Vallavathevan - ABU","Closed","That is not emergency PB, we are using two hand PB for fan clamping and welding process.","Saravanan.E - ABU",,"1"
"36","09-01-2025","APU","Stator line","IZ0099","Back side guard is open condition while operation, As the ram movement is reaches up to backside, There is chances of injury","Rank A","20230410_105340.jpg","Suggested to provide the door with interlock","Safety","EHS Patrol","12-04-2023","Prasath.M - ABU","Vallavathevan - ABU","Closed","Exisitng guard fixed","Saravanan.E - ABU",,"0"
"37","09-01-2025","APU","Stator","*****/Almonard fan MCB","Fan Switch box is damaged and hanging","Rank A","20230410_105011.jpg","Suggested to replace the Switch box","Safety","EHS Patrol","12-04-2023","Ganesh.V - WED","Prasath.M - ABU","Closed",,"Balakrishna Pawar - WED",,"0"
"38","09-01-2025","APU","Stator line","********/*******","Near by Paint plant, Air pipe line has no support, So that air valve is having contact with Electrical power box, It may damaged the power box","Rank A","20230410_105055.jpg","Suggested to provide support for Air pipe line","Safety","EHS Patrol","10-04-2023","Govindaraj .P - WED","Prasath.M - ABU","Closed","Unused pipe removed","Balakrishna Pawar - WED",,"0"
"39","09-01-2025","CMSPU","Armature line","IT0375","Observation found that, Tap switch is damaged and tap switch spring system is not working properly","Rank B","IMG_20230411_092712.jpg","Suggested to replace the tap switch button","Safety","EHS Patrol","17-04-2023","Srinivasan.A.K - CSBU","Ramesh.M - CMSBU","Closed","Existing switch found OK ","Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"0"
"40","09-01-2025","CMSPU","Armature line","IVT0607","Side guard is damaged and hanging, Operator may bypass ","Rank A","IMG_20230411_093047.jpg","Suggested to permanently fix the side guard","Safety","EHS Patrol","13-04-2023","Srinivasan.A.K - CSBU","Ramesh.M - CMSBU","Closed","Existing Guard Fixed","Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"0"
"41","09-01-2025","CMSPU","Armature Assembly","IT0591-Pin forming machine","Preventive maintenance check sheet  is not filled for the past 4 days ","Rank B","IMG_20230411_093655.jpg","Suggested to do corrective actions","Safety","EHS Patrol","12-04-2023","Srinivasan.A.K - CSBU","Ramesh.M - CMSBU","Closed","Producer Maintenance Chart Updated","Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"0"
"42","09-01-2025","CMSPU","Armature Assembly","IT0266/IT0297/IT0364-Pin forming machine","Please check the attached image that, for the following machines, available guard is not sufficient, Operator is doing maintenance work at the time of machine running ","Rank A","IMG_20230411_093800.jpg","Need to extend the guard with Interlock","Safety","EHS Patrol","13-04-2023","Srinivasan.A.K - CSBU","Ramesh.M - CMSBU","Closed","Operator was working in manual mode in machine OFF condition","Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"0"
"43","09-01-2025","CMSPU","Yoke line","ID0210/Yoke Deburring machine","Operator is manually de burring the yoke, for that, he has has to place his hand close to the operation, Chances of hand cut injury is high","Rank A","IMG_20230411_095047.jpg","Need to Check  the process and provide guard as per requirement- Need Horizontal Deployment","Safety","EHS Patrol","13-04-2023","Srinivasan.A.K - CSBU","Vinoth Kumar.V - ABU","Closed","Single Hand operation with one hand long holding available","Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"0"
"44","09-01-2025","CMSPU","Armature line","EOT crane near IPOO70 power press machine","Hook latch is damaged","Rank A","IMG_20230411_094309.jpg","Suggested to provide new latch","Safety","EHS Patrol","12-04-2023","Srinivasan.A.K - CSBU","Ramesh.M - CMSBU","Closed",,"Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"0"
"45","09-01-2025","GRS","LDGRS Main Assembly line","Main line conveyor","Please find the attached image, It was Observed that, Conveyor guard is in open stage at every inspection","Rank A","20230413_090545.jpg","Suggested to provide the interlock to the door","Safety","EHS Patrol","15-04-2023","Srinivasan.A.K - CSBU","Rasheed - CSBU","Closed","Disassembled Guard reassembled","Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"0"
"46","09-01-2025","GRS","Main Assembly line","IA0057/CNC lathe","CNC waste are not cleaned frequently- Excessive dust may cause fire","Rank A","20230413_091356.jpg","Cleaning frequency need to be improved","Safety","EHS Patrol","15-04-2023","Srinivasan.A.K - CSBU","Rasheed - CSBU","Closed",,"Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"0"
"47","09-01-2025","GRS","Main Assembly line","Dust cap crimping","Machine side guard is not sufficient, Huge Gap observed in side area that, Operator can easily bypass","Rank A","IMG-20230413-WA0001.jpg","Suggested to Extend the guard fully","Safety","EHS Patrol","15-04-2023","Srinivasan.A.K - CSBU","Selvadurai - WED","Closed","Extension Perspex sheet guard provided to avoid hand entry","Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"0"
"48","09-01-2025","GRS","Armature line","IT0684/ Hair pin forming machine","Side guard is given to the one end and not given to the another end- Already incident happened in GRS due to this issue","Rank A","20230413_091840.jpg","Suggested to cover the entire area","Safety","EHS Patrol","15-04-2023","Srinivasan.A.K - CSBU","Selvadurai - WED","Closed","Cleaned and insisted frequent cleaning","Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"0"
"49","09-01-2025","GRS","Armature line","IEL0201/Balancing machine","Front guard is not available in the machine- Incident happened in EPU dynamic balancing machine due to front guard issue","Rank A","20230413_092646.jpg","Need to provide front guard, except the photo guard covered area and Suggested to do Horizontal deployment.  Acrylic Clear guard provide at the top of  front Photo guarf","Safety","EHS Patrol","15-07-2023","Srinivasan.A.K - CSBU","Selvadurai - WED","Closed"," Acrylic Clear guard provide at the top of  front Photo guard","Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"1"
"50","09-01-2025","APU","APU Store Gangway",,"Portable Fire Extinguisher Trolley was blocked by plastic tins and carton boxes","Rank A","IMG-20230408-WA0012.jpg","Need to keep the place clean around the Fire Extinguishers trolley","Fire","Fire Patrol","13-04-2023","Vallavathevan - ABU",,"Closed","Cleared","Subbian.K - Intelligence Officer",,"0"
"51","09-01-2025","Store","Gas Store",,"Cylinders kept in vertical position without Safety chains.","Rank A","IMG-20230413-WA0003.jpg","Need to put safety chain ","Fire","Fire Patrol","13-04-2023","ELAMARAN.R - Stores",,"Open",,"Subbian.K - Intelligence Officer",,"0"
"52","09-01-2025","GRS","HD GRS ","ITA 0098","Varnish stagnation and spillage near the machine area.","Rank A","IMG-20230519-WA0002 ita0098.jpg","Need to clean the spillage and stagnation of varnish periodically","Fire","Fire Patrol","19-04-2023","Selvadurai - WED",,"Closed","Varnish Handling area cleaned","Subbian.K - Intelligence Officer",,"0"
