"ID","Notice ","Date","Shift ","BU Name","Location","Machine No","Problem Description","Recommedation","Target ","Responsibility ","Alternate Responsibility","BU Head / Dept. Head","Status","Photo","Attachments"
"8","STOP NOTICE","27-03-2023","I","GRS","Yoke Line ","IT1044- Riveting Machine ","
Front guard bypassed (Control panel)  for Production cycle time increase by Production Team ","Additional Password protection or alternate protection required ","25-03-2023","Dinesh kumar.S - GRS","Rangadesikan.N - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed",,"0"
"9","CAUTION NOTICE","08-04-2023","I","APU","STATOR CORE TIG WELDING MACHINE","IVW0181","Observation found that- In Tig welding machine, front door is damaged and fume killer is not effective, so that, operator opens side door for proper respiration, Tig welding smokes are highly toxic and working with opened guards may results injury","Suggested to replace the front door normal glasses to acrylic glass
Effectiveness of fume killer need to be checked and cleaning frequency need to be improved","20-04-2023","Prasath.M - ABU","Vallavathevan - ABU","Saravanan.E - ABU","Closed","20230408_124408.jpg","1"
"10","STOP NOTICE","13-04-2023","I","GRS","GRS Main Assembly line","IPH0171/Bearing press","It was Observed that, Even after pressing the emergency push button, Machine is running","Suggested to take corrective actions and need to inspect on daily basis","13-04-2023","Srinivasan.A.K - CSBU","Selvadurai - WED","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230413_092052.jpg","0"
"11","CAUTION NOTICE","13-04-2023","I","GRS","CSPU Armature line","IA0049/CNC lathe machine","CNC front door interlock is damaged, Machine is still running, even after opening the door","Suggested to replace the interlock and connect properly","13-04-2023","Srinivasan.A.K - CSBU","Selvadurai - WED","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230413_091640.jpg","0"
"12","STOP NOTICE","29-04-2023","I","GRS","Yoke line","IT0151/Yoke Press Machine","1.Emergency push button is damaged and not working
2.SOP is not available in the machine","1.Suggested to replace the Emergency push button
2.Provide the SOP","29-04-2023","Selvadurai - WED","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230429_085837.jpg","1"
"13","STOP NOTICE","29-04-2023","I","GRS","Yoke line","IPH182/ Yoke Gimping","Emergency push button is damaged and not working","Suggested to replace the Emergency push button","29-04-2023","Selvadurai - WED","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230429_085523.jpg","1"
"14","CAUTION NOTICE","16-05-2023","I","GRS","Armature line","IT0971- Insul Forming machine","1. Interlock is bypassed through magnet in manual mode- Chances of crush injury
2.Guard is not available in insul loading area - Chances of crush injury
3.Additional Control box is kept inside the machine for operation- Chances of crush injury in case of operating","1. Provide additional guard with interlock for insul loading area 
2. Place the Additional control box out of the machine","17-05-2023","Rangadesikan.N - CSBU","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","IMG-20230518-WA0015 (1).jpg","0"
"15","STOP NOTICE","12-06-2023","I","GRS","GRS Armature line","ITA0098- Varnish Plant","Repeated issue
1.Varnish waste are not cleaned since a week- It has spread across the machine
2.Secondary containment is totally damaged, so that varnish spilled over the containment
3.CO2 Suppression system-Nozzle is not focusing the varnish tank
4.Electrical wires are covered with varnish, Due to improper cleaning, Varnish stains stays long- This points is applicable to all the varnish plants
5.Flame proof lights are covered with varnish Stain
6.In the floor, Varnish is not cleaning properly every week, So that it is converted into solid","Suggested to take immediate actions towards cleaning the varnish
1.Varnish waste are not cleaned since a week- It has spread across the machine - Cleaned on 12.06.2023 and the same will periodically cleaned (Weekly once)
2.Secondary containment is totally damaged, so that varnish spilled over the containment - cleaned and Oil Paper with Grease applied on 12.06.2023
3.CO2 Suppression system-Nozzle is  focusing the varnish tank and the  pump- corrected13.06.2023 by C.WED 
4.Electrical wires are covered with varnish, Due to improper cleaning, Varnish stains stays long- This points is applicable to all the varnish plants - cleaned
5.Flame proof lights are covered with varnish Stain - Cleaned on 13.06.2023
6.In the floor, Varnish is not cleaning properly every week, So that it is converted into solid - Cleaned on 12.06.2023 and the same will be periodically Cleaned (Weekly once)","13-06-2023","Rangadesikan.N - CSBU","Suresh.K - ABU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230612_082613.jpg","1"
"16","STOP NOTICE","12-06-2023","I","GRS","GRS Armature line","ITA0090","1. Varnish spilled over the pump- During weekly cleaning- This area has not been covered for cleaning- It is converted into Solid.
2.Electrical wires are contaminated with varnish waste- This area also not covered during weekly cleaning
3.CO2 Suppression System nozzle is not available pump machine and tank
4.Varnish has contaminated the floor- This area needs deep cleaning","Suggested to take immediate actions 
1. Varnish spilled over the pump- During weekly cleaning- This area has not been covered for cleaning- It is converted into Solid. - Cleaned on 12.06.2023 and the same will be cleaned periodically (Weekly once)
2.Electrical wires are contaminated with varnish waste- This area also not covered during weekly cleaning - Cleaned and routed properly on 12.06.2023
3.CO2 Suppression System nozzle is not available pump machine and tank - Positioned towards Varnish pumping Tank on 12.06.2023
4.Varnish has contaminated the floor- This area needs deep cleaning - Initial cleaning done on 12.06.2023 and oil paper with Grease provided on 12.06.2023","12-06-2023","Rangadesikan.N - CSBU","Suresh.K - ABU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230612_082657.jpg","1"
"17","STOP NOTICE","20-06-2023","I","CMSPU","Drive line","IPH0178 Pinion Hard Turning","1.Front guard interlock is bypassed with magnet
2.Front guard railing  is totally damaged, So that door is not closing totally while operation","Need to fix the door and connect the interlock properly","20-06-2023","Srinivasan.A.K - CSBU","Vinoth Kumar.V - ABU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","IMG-20230620-WA0008.jpg","1"
